scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
indian_pines,crop,Tucker-lin (adam_prox),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(145, 145, 200)","(36, 36, 200)","(145, 145, 4)",True,0.0,1.0,0.0,27.29772186279297,1050.102783203125,0.8136251189580607,19.049335814965403,10.165140151977539,5.504969509438819,0.78669082296915,success,,41.55825935804751
indian_pines,crop,Tucker-lin (adam_prox),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(145, 145, 200)","(18, 18, 200)","(145, 145, 4)",True,0.0,1.0,0.0,27.268956422805786,471.8458251953125,0.7425349224839521,17.26743459914943,13.759570121765137,6.759793822159422,0.6048311844791254,success,,40.69810008397326
indian_pines,crop,Tucker-lin (adam_prox),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(145, 145, 200)","(36, 36, 200)","(145, 145, 4)",True,0.0,1.0,0.0,27.359036922454834,748.4510498046875,0.8577750456185766,20.400530687008164,9.384994506835938,4.712500097940871,0.7695071773460489,success,,40.89719518797938
indian_pines,crop,Tucker-lin (adam_prox),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(145, 145, 200)","(18, 18, 200)","(145, 145, 4)",True,0.0,1.0,0.0,32.248448848724365,224.11642456054688,0.6546450090103222,16.726062319994597,14.57271671295166,7.194825576392216,0.5300687877359695,success,,45.66737208305858
indian_pines,crop,Tucker-lin (adam_prox),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(145, 145, 200)","(36, 36, 200)","(145, 145, 4)",True,0.0,1.0,0.0,27.450003623962402,943.5132446289062,0.872599281315259,20.463621923854266,9.441822052001953,4.678352402162518,0.7932777591706087,success,,41.08741984399967
indian_pines,crop,Tucker-lin (adam_prox),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(145, 145, 200)","(18, 18, 200)","(145, 145, 4)",True,0.0,1.0,0.0,27.441789150238037,298.51275634765625,0.6754236566348502,17.136365798306382,13.92885971069336,6.862791564833717,0.5523970295483662,success,,41.03653102496173
