scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (adam_l1),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.011111111234640703,39.66141152381897,22846.00390625,0.5552689128741938,18.994199409449532,10.370315551757812,9.682405468713377,0.44998749837739666,success,,90.31921759503894
pavia,crop,Tucker-lin (adam_l1),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.011111111234640703,27.786864280700684,19904.26953125,0.5277775293933757,18.666648155607362,11.21729564666748,9.875687509936691,0.43211440917378036,success,,77.96123707084917
pavia,crop,Tucker-lin (adam_l1),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,40.598270893096924,26785.708984375,0.5528697138019395,18.92445022734207,10.523833274841309,9.825489964024626,0.44155569792859695,success,,90.94584164395928
pavia,crop,Tucker-lin (adam_l1),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,28.573078870773315,38255.125,0.057788791133555645,15.381036501896386,16.81913185119629,15.79556953996267,0.17062573800081693,success,,78.74443031614646
pavia,crop,Tucker-lin (adam_l1),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,41.5407919883728,37102.328125,0.5265095231307435,18.615984724507815,10.775965690612793,10.136238413262987,0.4255671243199883,success,,91.98626759112813
pavia,crop,Tucker-lin (adam_l1),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,28.83590841293335,20874.71875,0.5108639995283284,18.550062737280374,11.10833740234375,10.124045634519092,0.4120134654458082,success,,79.0260753580369
