scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (sgd_prox),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,41.723777055740356,11932.6787109375,0.6393664257967556,19.85115342793446,9.20213508605957,8.76374355225028,0.524562324566151,success,,92.05444177403115
pavia,crop,Tucker-lin (sgd_prox),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,28.382579565048218,10720.4375,0.6550198187940641,20.092487424248183,9.427207946777344,8.394233857169363,0.5434243504668527,success,,78.4665706269443
pavia,crop,Tucker-lin (sgd_prox),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,33.134987115859985,14701.314453125,0.6432658699239603,19.849392095240354,9.188969612121582,8.828166912238743,0.5222543379272339,success,,83.48543565603904
pavia,crop,Tucker-lin (sgd_prox),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,25.21562123298645,11211.833984375,0.6252733324242333,19.6807400067649,9.65059757232666,8.919330481730475,0.5059338754139763,success,,75.29971029306762
pavia,crop,Tucker-lin (sgd_prox),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,32.04763674736023,24595.306640625,0.6046516944351391,19.265186422230055,9.638729095458984,9.390979475118977,0.49074569431262594,success,,82.47650267300196
pavia,crop,Tucker-lin (sgd_prox),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,25.237818956375122,12191.8916015625,0.6213097146583135,19.591068683471455,9.687050819396973,8.970605551869589,0.503885965650341,success,,75.32258760090917
