scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (lbfgs_prox),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.004166666622040793,13.374919652938843,38635.59375,0.27042459682305925,16.427901611571954,16.46089744567871,13.348180611820313,0.2682243160359776,success,,66.48036258597858
pavia,crop,Tucker-lin (lbfgs_prox),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.004166666622040793,11.626583814620972,26118.4765625,0.17947255397695902,16.393035236252583,14.673219680786133,13.672372034486656,0.21557685324867382,success,,64.27279859199189
pavia,crop,Tucker-lin (lbfgs_prox),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,17.23590660095215,69471.421875,0.04313708783088332,14.432500562549304,16.759164810180664,17.078833203107365,0.13283114002061328,success,,70.08800314203836
pavia,crop,Tucker-lin (lbfgs_prox),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.012499999138526618,10.550024271011353,36236.9453125,0.057504129682490156,15.385454123083374,16.828495025634766,15.78210483965847,0.16931497756889574,success,,63.332965754088946
pavia,crop,Tucker-lin (lbfgs_prox),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,12.352636337280273,60029.25,0.2324703864916349,15.94181438747459,17.536788940429688,14.30367019191601,0.24120985911348414,success,,65.10458388202824
pavia,crop,Tucker-lin (lbfgs_prox),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,81.20057392120361,43839.47265625,0.06489936242889478,14.062985928262037,17.28367042541504,17.027767434200094,0.09974993192599582,success,,133.7688673849916
