scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (adam_l1),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,36.76204514503479,10624.3310546875,0.6680468437305657,20.119182467734426,9.149886131286621,8.382362148169035,0.5530308239755851,success,,90.74099913192913
pavia,crop,Tucker-lin (adam_l1),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.1028311252594,10031.189453125,0.6434844522896497,19.539307256582337,11.010489463806152,8.812465713405604,0.5180054533261431,success,,88.73302924295422
pavia,crop,Tucker-lin (adam_l1),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,32.26429200172424,14014.3046875,0.6639387034457681,19.996322032347013,8.990238189697266,8.642550115374547,0.5380760624014915,success,,85.19178162899334
pavia,crop,Tucker-lin (adam_l1),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.014814376831055,10258.3134765625,0.6340211207481001,19.400049649751026,11.064271926879883,9.030243825162056,0.5084755536964584,success,,88.46448150195647
pavia,crop,Tucker-lin (adam_l1),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,36.36892819404602,24338.587890625,0.6041645788370805,19.223102556412705,9.618258476257324,9.399444010444702,0.4891124043069608,success,,90.02557910000905
pavia,crop,Tucker-lin (adam_l1),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.19457983970642,11598.697265625,0.5977327731120182,18.913244065257572,11.794001579284668,9.513718600643402,0.4782364545164081,success,,88.56165675108787
