scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (adam_prox),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.77190542221069,23041.35546875,17.784745006896372,11.477544784545898,11.308826698297642,0.32224439193925486,success,,64.96251967805438
pavia,crop,Tucker-lin (adam_prox),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.74150776863098,17630.9765625,17.79053075999753,11.857155799865723,11.144913189830348,0.3273641217800599,success,,63.52984926395584
pavia,crop,Tucker-lin (adam_prox),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.33641743659973,30035.3125,17.81250993213333,11.659380912780762,11.222015662373664,0.323310814661482,success,,64.23138404404745
pavia,crop,Tucker-lin (adam_prox),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.66914653778076,18348.21875,17.773256453947027,11.785518646240234,11.207801307036036,0.32083698078353484,success,,63.49861262005288
pavia,crop,Tucker-lin (adam_prox),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.37522530555725,41972.83984375,17.690304198506503,11.879923820495605,11.416068276086284,0.31492662028915047,success,,64.27711429505143
pavia,crop,Tucker-lin (adam_prox),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.64384460449219,19450.27734375,17.72066311538822,11.811712265014648,11.305005519969221,0.31445035215601064,success,,63.527160738944076
