scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (adam_l1),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,36.23702836036682,23070.77734375,0.40043158040360016,17.782298012806198,11.500946998596191,11.330957973491335,0.32109166242897264,success,,90.19418426498305
pavia,crop,Tucker-lin (adam_l1),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.483641624450684,17667.95703125,0.40434221418934957,17.82513539257248,11.73910140991211,11.107671046900599,0.32995939934391366,success,,89.24673565896228
pavia,crop,Tucker-lin (adam_l1),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,36.04088020324707,30051.2421875,0.40501943127360557,17.812954291123678,11.725502967834473,11.209036334583422,0.3228342105408574,success,,90.01143169996794
pavia,crop,Tucker-lin (adam_l1),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.549702405929565,18360.62890625,0.4045760670321171,17.78231094479132,11.753388404846191,11.203337454456289,0.3213356153087548,success,,89.1894254849758
pavia,crop,Tucker-lin (adam_l1),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,36.05599522590637,41974.8203125,0.386670621800904,17.690814929615645,11.884259223937988,11.416105221865685,0.3149980605068876,success,,89.7893764670007
pavia,crop,Tucker-lin (adam_l1),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.394200563430786,19464.984375,0.3941697701984062,17.733000358213758,11.777172088623047,11.294449817360988,0.3150895867146782,success,,89.02489542902913
