scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (adam_prox),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.70384860038757,13661.96484375,0.59085085507864,19.327187745290118,9.75009536743164,9.198952772170873,0.4768663867223495,success,,89.72099024394993
pavia,crop,Tucker-lin (adam_prox),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.31141662597656,12067.4677734375,0.5833459322750099,19.08212990367898,10.859886169433594,9.324627211904428,0.46467783298227827,success,,87.85854275897145
pavia,crop,Tucker-lin (adam_prox),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.121577739715576,18214.7109375,0.5938282921836661,19.279940873025968,9.785633087158203,9.334415572999347,0.47034562964825993,success,,88.70729485806078
pavia,crop,Tucker-lin (adam_prox),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.3289430141449,12411.0087890625,0.5846601093568903,19.088244002401183,10.5149507522583,9.407766339401885,0.46057374655696515,success,,87.83831898099743
pavia,crop,Tucker-lin (adam_prox),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.282931089401245,29526.7265625,0.5481142980547845,18.809963450558218,10.233404159545898,9.858705733395839,0.4377167853995999,success,,88.85675240308046
pavia,crop,Tucker-lin (adam_prox),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.29377508163452,13752.197265625,0.5647060922014085,18.858132482554705,10.79870319366455,9.664609180578193,0.44381492950695606,success,,87.8155250720447
