scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,fit_time_s,sparsity_G,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (adam_prox),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,177.98522400856018,0.0,0.06355508791408314,14.933739416486587,19.155147552490234,16.30853220939028,0.16307463697968344,success,,227.72947289096192
pavia,crop,Tucker-lin (adam_prox),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,189.332355260849,0.0,0.0559872676292723,13.839577176773695,24.569181442260742,17.45585300454181,0.16165844717505382,success,,238.82824463211
pavia,crop,Tucker-lin (adam_prox),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,192.11477661132812,0.0,0.017992524733048573,10.983595138502068,17.725862503051758,22.907575706911825,0.03746755252892229,success,,241.56558360392228
pavia,crop,Tucker-lin (adam_prox),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,189.40238571166992,0.0,0.027671053166354202,10.428365673894337,19.642093658447266,23.973332482849564,0.047358917493928974,success,,238.90367321413942
pavia,crop,Tucker-lin (adam_prox),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,194.74537324905396,0.0,0.05895548370328376,14.858226960698975,19.72170639038086,16.642303212242325,0.15444420234239567,success,,244.40698515996337
pavia,crop,Tucker-lin (adam_prox),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,199.17390203475952,0.0,0.04508844215316225,12.006182751722045,21.876361846923828,20.461687443615308,0.057567765101842625,success,,247.98946940503083
