scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (adam_prox),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.29984164237976,23063.93359375,0.4005443193166098,17.783553942779598,11.494858741760254,11.324678608953953,0.32138655498867075,success,,89.47034776303917
pavia,crop,Tucker-lin (adam_prox),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.43690776824951,17660.474609375,0.4041921016021495,17.82174643608797,11.74653434753418,11.111775490214006,0.3297857375786401,success,,87.9299269359326
pavia,crop,Tucker-lin (adam_prox),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.87229537963867,30049.072265625,0.4050255330856259,17.813080753425986,11.726201057434082,11.20917939479084,0.32280480026854924,success,,88.82862701395061
pavia,crop,Tucker-lin (adam_prox),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.43534183502197,18357.3203125,0.4046788169681831,17.783025283214663,11.752318382263184,11.200188335390841,0.32127769375478216,success,,87.95945314806886
pavia,crop,Tucker-lin (adam_prox),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.751734018325806,41973.8671875,0.3866583474033031,17.690694912790136,11.885814666748047,11.416125744986969,0.3150158888603806,success,,88.74957889597863
pavia,crop,Tucker-lin (adam_prox),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.39536809921265,19461.12890625,0.39400192016205726,17.731732372421373,11.776448249816895,11.29604717085981,0.3150849518635248,success,,87.94620397000108
