scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (adam_l1),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,48.00477385520935,15895.76953125,0.5877569242609403,19.334492467739043,9.71711540222168,9.196601468744586,0.4762201356910683,success,,99.58553678309545
pavia,crop,Tucker-lin (adam_l1),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.011111111234640703,34.143832206726074,13928.005859375,0.5871107661259561,19.32830338525655,10.146614074707031,9.080584776419428,0.47948811873109615,success,,84.53636043588631
pavia,crop,Tucker-lin (adam_l1),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,46.74907565116882,20220.6171875,0.585659631204442,19.2533182472197,9.859014511108398,9.381052040559384,0.46609410985103344,success,,97.25095102493651
pavia,crop,Tucker-lin (adam_l1),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.011111111234640703,34.56382918357849,14102.9755859375,0.583352326020266,19.200610866012347,10.100262641906738,9.323099721141382,0.46475143817660697,success,,84.70045934594236
pavia,crop,Tucker-lin (adam_l1),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,47.74680805206299,31220.87109375,0.5464827922002066,18.814124377326454,10.269722938537598,9.86802064239775,0.43767706534450856,success,,98.07959621818736
pavia,crop,Tucker-lin (adam_l1),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.71131944656372,15423.615234375,0.5645755510827074,19.025916700900172,10.227256774902344,9.520348570842305,0.4499576218152101,success,,86.63514661183581
