scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (adam_prox),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.926300048828125,26893.525390625,17.369505506815656,12.394807815551758,12.139339617008526,0.27985329200697245,success,,65.34255282802042
pavia,crop,Tucker-lin (adam_prox),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.818278074264526,19909.8046875,17.37641531786904,12.645904541015625,12.043260011912526,0.28472330377401,success,,63.69942843494937
pavia,crop,Tucker-lin (adam_prox),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.52283453941345,32303.2734375,17.511211621798,12.498111724853516,11.830235722076408,0.2916138961837015,success,,64.48439023690298
pavia,crop,Tucker-lin (adam_prox),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.573129177093506,20074.53515625,17.430313836608274,12.623377799987793,11.925052564190745,0.287920317564427,success,,63.49536283209454
pavia,crop,Tucker-lin (adam_prox),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.20068073272705,42877.6484375,17.591790245634723,12.287260055541992,11.630714744223072,0.30437611199689274,success,,64.08695978904143
pavia,crop,Tucker-lin (adam_prox),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.299500942230225,20896.513671875,17.441218765603054,12.4852876663208,11.904413038164867,0.2882010341603625,success,,63.14595447003376
