scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (adam_l1),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,36.07002329826355,23106.8046875,0.4009155166621458,17.762720641899005,11.470353126525879,11.344029321789662,0.319772671557352,success,,89.10252132103778
pavia,crop,Tucker-lin (adam_l1),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,28.149337768554688,17664.177734375,0.40447338928892174,17.822660569918455,11.759076118469238,11.113183249419725,0.3294249955305421,success,,80.96530339098535
pavia,crop,Tucker-lin (adam_l1),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,36.095142126083374,30038.298828125,0.40518931577975004,17.813485271210997,11.711664199829102,11.20667823096115,0.32294308131878874,success,,89.68633719102945
pavia,crop,Tucker-lin (adam_l1),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.64011001586914,18352.537109375,0.4044512659644996,17.779234306157623,11.764538764953613,11.203633764451423,0.32103257878649166,success,,88.99579088203609
pavia,crop,Tucker-lin (adam_l1),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,36.021395683288574,41975.37109375,0.3866470922407638,17.69088452261077,11.887603759765625,11.415975606570326,0.3150551859335938,success,,89.55839586805087
pavia,crop,Tucker-lin (adam_l1),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.66023373603821,19459.162109375,0.3940012658842569,17.730504721249762,11.779653549194336,11.297118697837584,0.3150279051290644,success,,89.00892272102647
