scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,NL-JTAE (proposé),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,25.45943856239319,68.0676019191742,24.41675340825129,6.917513847351074,5.01247497874743,0.8759093932647694,success,,97.11287115502637
pavia,crop,NL-JTAE (proposé),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,3.222901001572609,15.498937129974365,21.305723411295507,9.409817695617676,7.437142205960637,0.7757726659213979,success,,44.50303575000726
pavia,crop,NL-JTAE (proposé),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.308025348931551,80.56565070152283,24.27926702512725,6.274889945983887,5.301121612152984,0.8714813753486488,success,,109.48881545499898
pavia,crop,NL-JTAE (proposé),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,1.1567003093659878,66.08661675453186,24.111111724077176,6.978479862213135,5.370687567609378,0.8780303092231445,success,,94.96423609100748
pavia,crop,NL-JTAE (proposé),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.7836687378585339,76.25109505653381,20.421782218120505,8.314250946044922,8.103258150571238,0.7269328577484517,success,,105.14400605903938
pavia,crop,NL-JTAE (proposé),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,3.315906971693039,63.24344730377197,22.078292767924474,8.088105201721191,6.816192867014964,0.8078688520433013,success,,92.0500441720942
