scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (adam_prox),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,56.56514072418213,10624.3916015625,0.668029199562399,20.118886834323234,9.150867462158203,8.382601762399611,0.5530086743570708,success,,107.16803475492634
pavia,crop,Tucker-lin (adam_prox),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,42.936272859573364,10031.4521484375,0.6439200586247151,19.54368592869897,10.99854564666748,8.80226073123057,0.5186283524621087,success,,93.11195188807324
pavia,crop,Tucker-lin (adam_prox),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,48.40675210952759,14014.2861328125,0.6639379682427559,19.99632141319998,8.990256309509277,8.642552308593823,0.5380755111374522,success,,98.19353204709478
pavia,crop,Tucker-lin (adam_prox),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.547682762145996,10258.1337890625,0.6348245353398382,19.414117018006774,11.03030014038086,9.015984538377202,0.5091984523019978,success,,84.68671322707087
pavia,crop,Tucker-lin (adam_prox),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,47.39328908920288,24337.05859375,0.6046663528066538,19.223704981785968,9.62044620513916,9.398834709214418,0.4892294710869743,success,,97.35665068402886
pavia,crop,Tucker-lin (adam_prox),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.88667917251587,11597.0986328125,0.5956270463802688,18.87983351860251,11.900057792663574,9.536434879157243,0.4765845577661656,success,,85.257592828013
