scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (adam_l1),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,33.135995626449585,76857.9765625,0.06505688216173168,15.345070604406104,16.822053909301758,15.885745871764193,0.16993682993094525,success,,83.95218924898654
pavia,crop,Tucker-lin (adam_l1),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,25.977279663085938,54970.5859375,0.05010936234901707,15.267211981044797,17.079288482666016,15.91207491110932,0.17274596468437206,success,,76.41534118214622
pavia,crop,Tucker-lin (adam_l1),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,31.775250673294067,81068.0625,0.05347172895713993,15.300479808620505,16.85073471069336,15.919157547317203,0.1628464856494466,success,,82.0666533978656
pavia,crop,Tucker-lin (adam_l1),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,25.970170974731445,54570.93359375,0.05329275396420607,15.174803276154838,17.222278594970703,15.99864678704536,0.16635332141139203,success,,76.41942988685332
pavia,crop,Tucker-lin (adam_l1),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,32.97029137611389,88160.828125,0.052407201205731745,15.367458831089476,16.827808380126953,15.871295075558159,0.17058351259389268,success,,83.04222530894913
pavia,crop,Tucker-lin (adam_l1),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,37.495649099349976,54480.30859375,0.05238439957857519,15.197552697439885,17.21061134338379,15.981602148305358,0.16664990557154236,success,,87.89342250698246
