scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,fit_time_s,sparsity_G,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
indian_pines,crop,Tucker-lin (adam_prox),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(145, 145, 200)","(36, 36, 200)","(145, 145, 4)",True,0.0,1.0,27.788074016571045,0.0,0.10791320153711133,13.168514163666158,22.19373893737793,10.835226762137973,0.09321520181172606,success,,40.288339789025486
indian_pines,crop,Tucker-lin (adam_prox),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(145, 145, 200)","(18, 18, 200)","(145, 145, 4)",True,0.0,1.0,23.248140335083008,0.0,0.08710428465107213,12.226302033478833,25.63119125366211,12.076446114110402,0.09204630467490364,success,,35.75062164803967
indian_pines,crop,Tucker-lin (adam_prox),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(145, 145, 200)","(36, 36, 200)","(145, 145, 4)",True,0.0,1.0,27.780885457992554,0.0,0.028505481051939383,7.677819161998222,21.4842529296875,20.38864594809158,0.011486564801699019,success,,40.34762765211053
indian_pines,crop,Tucker-lin (adam_prox),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(145, 145, 200)","(18, 18, 200)","(145, 145, 4)",True,0.0,1.0,23.24797558784485,0.0,0.02160249823079937,6.705325071894953,21.996843338012695,22.804624773235965,0.01285095150405019,success,,35.726763202110305
indian_pines,crop,Tucker-lin (adam_prox),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(145, 145, 200)","(36, 36, 200)","(145, 145, 4)",True,0.0,1.0,27.785279035568237,0.0,0.08617300744902534,12.90202021965527,22.322711944580078,11.173142742886569,0.08241242791304776,success,,40.358804903924465
indian_pines,crop,Tucker-lin (adam_prox),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(145, 145, 200)","(18, 18, 200)","(145, 145, 4)",True,0.0,1.0,23.235207319259644,0.0,0.04383721813749036,8.334503752951253,23.143421173095703,18.905739564207074,0.01603089563108097,success,,35.677420056192204
