scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,fit_time_s,final_loss,q2n,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,Tucker-lin (adam_prox),gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,35.71845030784607,23064.66015625,0.400457526072527,17.78351836424374,11.495162963867188,11.325293547938525,0.32134530956268237,success,,89.95486125198659
pavia,crop,Tucker-lin (adam_prox),gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,34.527427434921265,17666.451171875,0.4044321758466037,17.82035987989101,11.76667308807373,11.108163845761657,0.3298261533532727,success,,88.38834867498372
pavia,crop,Tucker-lin (adam_prox),airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,31.95679783821106,30043.013671875,0.4073415871134803,17.81182445954786,11.669013977050781,11.224107511045899,0.323203460892828,success,,84.99628709105309
pavia,crop,Tucker-lin (adam_prox),airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,27.894447088241577,18359.2734375,0.4048706382380102,17.784114117973623,11.753541946411133,11.19904306823067,0.3213691515486413,success,,80.85222723404877
pavia,crop,Tucker-lin (adam_prox),sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,31.956268072128296,41973.3984375,0.38649278508716917,17.690608296370918,11.879252433776855,11.415366650569087,0.31484288708489117,success,,84.96921781403944
pavia,crop,Tucker-lin (adam_prox),sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,27.929160594940186,19468.609375,0.393741984276077,17.73453916004089,11.760906219482422,11.295960059327086,0.3155490671192356,success,,80.898369554081
