scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,sparsity_G,PSNR,SAM,ERGAS,SSIM,status,error,runtime_seconds
pavia,crop,G-STEREO-Tucker,gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,14.933739388248847,19.155147552490234,16.308532313025644,0.1630746585513707,success,,333.7178630550043
pavia,crop,G-STEREO-Tucker,gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,13.839576765874288,24.569181442260742,17.455853371033957,0.16165844293245488,success,,198.16264626401244
pavia,crop,G-STEREO-Tucker,airy,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,10.983595221513585,17.725862503051758,22.90757545682463,0.03746755132923148,success,,338.30873079400044
pavia,crop,G-STEREO-Tucker,airy,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,15.193597443110969,17.39600944519043,15.913692605164256,0.16360816688671082,success,,197.22253029001877
pavia,crop,G-STEREO-Tucker,sinc,3.4,15,4,4,35.0,40.0,4.2,42,"(610, 340, 103)","(152, 85, 103)","(610, 340, 4)",True,0.0,1.0,0.0,14.858226832852981,19.72170639038086,16.642303448700044,0.15444418326191997,success,,329.7911946380045
pavia,crop,G-STEREO-Tucker,sinc,3.4,15,8,4,30.0,40.0,4.2,42,"(610, 340, 103)","(76, 42, 103)","(610, 340, 4)",True,0.0,1.0,0.0,12.272536164810903,21.877687454223633,19.93982971905101,0.06286235667589499,success,,195.7830332890153
